Namespace,Name,HasSample,HasSnipSnop,HasDatasheet,HasDocOverride,IsUIDCorrect,HasFritzing,HasCodeExample,HasWiringExample,HasPurchasing,IsPublished
Meadow.Foundation.Sensors,SimulatedDigitalInputPort,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Sensors,SimulatedAnalogInputPort,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Controllers.Pid,StandardPidController,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Audio,MicroAudio,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Audio,SystemSounds,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Audio,Song,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Audio,GameSounds,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Audio,Note,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Audio,NotesToFrequency,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.DataLoggers,AdafruitIO,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.DataLoggers,SensorReading,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.DataLoggers,ThingSpeak,False,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Displays.UI,TextDisplayMenu,True,False,False,True,True,False,False,False,False,True
Meadow.Foundation.Displays.UI,MenuItem,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Displays.UI.InputTypes,Temperature,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Displays.UI.InputTypes,Date,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Displays.UI.InputTypes,Time,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Displays.UI.InputTypes,Boolean,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Displays.UI.InputTypes,TimeDetailed,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Displays.UI.InputTypes,Numerical,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Displays.UI.InputTypes,OnOff,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Displays.UI.InputTypes,TimeShort,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Displays.UI.InputTypes,Age,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,PointF,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Point3d,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,GraphicsPath,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Rect,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Point,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Size,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,MicroGraphics,False,False,False,True,True,False,False,False,False,True
Graphics.MicroGraphics.Dither,DitherMode,False,False,False,False,False,False,False,False,False,True
Graphics.MicroGraphics.Dither,PixelBufferDither,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Font8x16,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Font12x20,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Font16x24,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Font8x12,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Font8x8,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Font4x8,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Font12x16,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Font6x8,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics,Font4x6,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics.MicroLayout,DisplayScreen,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics.MicroLayout,Label,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics.MicroLayout,ProgressBar,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics.MicroLayout,Picture,False,False,False,False,False,False,False,False,False,True
Meadow.Foundation.Graphics.MicroLayout,ScrollingTextArea,False,False,False,False,False,False,False,False,False,True
